
	WATERSHED 4

Y[i] ~ dbern(theta[i])
      logit(theta[i]) <- beta[1] + beta[2] * Agr[i] + beta[3] * Elv[i] + beta[4] * Area[i] + beta[5] * Slop[i] +
        beta[6] * s[i]

	u[i,j] <- -alpha[1] * U[Segment_id[i], j]
        d[i,j] <- -alpha[2] * D[Segment_id[i], j]

              mean        sd          2.5%          50%       97.5% Rhat n.eff
s[25]     2.7711723 2.2599652  4.402504e-02  2.235515000  8.07152025 1.00  1355
s[26]     2.9038278 2.0011269  9.676200e-02  2.563925000  7.79790925 1.00  1428
s[27]     4.4509955 2.1593447  9.497539e-01  4.276785000  9.12574650 1.00  1336
s[28]     3.8651025 1.8277887  1.071403e+00  3.535075000  8.32984350 1.00  1321
s[29]     3.8651025 1.8277887  1.071403e+00  3.535075000  8.32984350 1.00  1321
s[30]     2.5101254 2.1138398  3.674093e-02  1.975710000  7.65055325 1.00  1340
s[31]     2.5101254 2.1138398  3.674093e-02  1.975710000  7.65055325 1.00  1340
s[32]     3.3725848 1.9415068  4.124610e-01  3.084990000  8.02434325 1.00  1427
s[33]     5.0292272 1.8636576  1.138726e+00  5.031915000  8.93484125 1.00  1417
s[34]     2.0010038 1.8651849  1.259030e-02  1.451775000  6.71043725 1.00  1374
s[35]     2.0670238 1.6217849  1.755072e-01  1.555785000  6.32751800 1.00  1358
s[36]     5.5208710 1.6112274  2.482831e+00  5.391055000  9.09981825 1.00  1417
s[37]     5.5208710 1.6112274  2.482831e+00  5.391055000  9.09981825 1.00  1417
s[38]     2.6929916 1.6680994  2.742319e-01  2.455235000  6.58518275 1.00  1540
s[39]     2.9243816 1.6162426  6.820900e-01  2.664935000  6.74691300 1.00  1458
s[40]     4.0255474 1.5278032  1.663115e+00  3.853985000  7.49602375 1.00  1353
s[41]     5.6246064 1.6386376  2.591131e+00  5.480300000  9.26184325 1.00  1338
s[42]     2.0862837 1.8100231  2.585667e-02  1.551360000  6.71338225 1.00  1339
s[43]     1.1236576 1.3089083  9.735766e-04  0.625542000  4.69671150 1.00  1322
s[44]     3.0211892 1.9113995  7.529565e-02  2.861720000  7.15595025 1.00  1500
s[45]     0.7127187 1.0710105  1.265099e-14  0.230156000  3.86609300 1.00  1365
s[46]     1.5929346 1.1354595  2.354986e-01  1.231600000  4.61490200 1.00  1329
s[47]     4.0255474 1.5278032  1.663115e+00  3.853985000  7.49602375 1.00  1353
s[48]     1.5567166 1.1282838  2.347009e-01  1.197240000  4.61686625 1.00  1317
s[49]     5.6246064 1.6386376  2.591131e+00  5.480300000  9.26184325 1.00  1338
s[50]     1.1950183 1.2884374  1.287394e-03  0.764056500  4.71859300 1.00  1262
s[51]     3.7459059 2.3312265  9.554312e-02  3.613800000  8.58452975 1.00  1500
s[52]     2.7457314 2.0209739  1.379276e-02  2.427285000  7.24797950 1.00  1471
s[53]     3.1182212 1.6857168  4.826436e-01  2.926725000  7.07881900 1.00  1452
s[54]     5.2279050 1.9423785  1.263500e+00  5.190950000  9.23570825 1.00  1438
s[55]     2.5562688 1.9976898  9.039673e-02  2.115805000  7.41088200 1.00  1372
s[56]     2.1330615 1.5874816  3.188925e-01  1.578090000  6.39758900 1.00  1351
s[57]     3.7773948 1.9274461  7.242447e-01  3.453115000  8.37158200 1.00  1349
s[58]     3.8370659 1.5993947  1.130471e+00  3.633315000  7.46285275 1.00  1338
