
	WATERSHED 6

Y[i] ~ dbern(theta[i])
      logit(theta[i]) <- beta[1] + beta[2] * Agr[i] + beta[3] * Elv[i] + beta[4] * Area[i] + beta[5] * Slop[i] +
        beta[6] * s[i]

	u[i,j] <- -alpha[1] * U[Segment_id[i], j]
        d[i,j] <- -alpha[2] * D[Segment_id[i], j]

                mean         sd          2.5%          50%        97.5% Rhat n.eff
s[35]     6.355898067  3.2907955  1.415833e+00  5.897105000 14.034002500 1.00  1224
s[36]     3.046806760  1.2980515  5.951409e-01  3.192460000  5.372333750 1.00  1338
s[37]     2.931137237  1.3019304  5.572343e-01  3.004505000  5.372316500 1.00  1330
s[38]     2.931137237  1.3019304  5.572343e-01  3.004505000  5.372316500 1.00  1330
s[39]     5.577526220  3.8227609  1.544170e-01  5.135345000 14.350835000 1.00  1337
s[40]     5.577526220  3.8227609  1.544170e-01  5.135345000 14.350835000 1.00  1337
s[41]     6.124367123  3.2674403  1.442934e+00  5.648860000 13.825637500 1.00  1395
s[42]     4.125229560  2.3370638  1.210304e+00  3.604980000  9.991984000 1.00  1388
s[43]     4.125229560  2.3370638  1.210304e+00  3.604980000  9.991984000 1.00  1388
s[44]     5.782102415  3.7676665  4.368108e-01  5.313180000 14.450250000 1.00  1336
s[45]     6.645576104  3.5958665  1.497704e+00  6.214830000 14.969332500 1.00  1342
s[46]     6.645576104  3.5958665  1.497704e+00  6.214830000 14.969332500 1.00  1342
s[47]     8.148549449  3.2969370  2.247882e+00  8.111510000 15.118557500 1.00  1343
s[48]     8.148549449  3.2969370  2.247882e+00  8.111510000 15.118557500 1.00  1343
s[49]     6.810450261  3.8059389  5.128245e-01  6.643200000 15.020430000 1.00  1344
s[50]     2.003473188  1.4362661  6.410610e-03  1.926890000  4.972913000 1.00  1395
s[51]     4.897569040  2.1928636  1.456334e+00  4.600125000 10.231265000 1.00  1254
s[52]     4.897569040  2.1928636  1.456334e+00  4.600125000 10.231265000 1.00  1254
s[53]     6.996884403  3.6620064  1.052495e+00  6.946155000 14.621635000 1.00  1245
s[54]     2.243638862  1.2133476  7.200180e-01  1.945295000  5.118508250 1.00  1396
s[55]     4.842568580  2.1897770  1.533718e+00  4.517535000 10.272967500 1.00  1254
s[56]     5.785484291  3.5381525  4.390484e-01  5.383055000 13.981547500 1.00  1348
s[57]     7.489258120  3.5541599  2.014248e+00  7.233725000 15.358225000 1.00  1343
s[58]     6.871869460  3.5127762  1.894554e+00  6.412325000 15.002512500 1.00  1346
s[59]     6.871869460  3.5127762  1.894554e+00  6.412325000 15.002512500 1.00  1346
s[60]     6.983466626  3.6665400  1.048662e+00  6.929885000 14.622150000 1.00  1244
s[61]     4.519551061  2.2561722  1.462467e+00  4.111920000 10.259032500 1.00  1331
s[62]     7.489258120  3.5541599  2.014248e+00  7.233725000 15.358225000 1.00  1343
s[63]     6.475320350  3.9787729  9.060043e-01  5.963815000 15.356910000 1.00  1364
s[64]     4.868531118  3.6195802  5.936942e-01  4.004860000 14.117432500 1.00  1213
s[65]     9.140296027  4.3338310  1.669408e+00  8.876445000 18.612452500 1.00  1348
s[66]     5.232255613  2.8568658  1.250806e+00  4.804620000 12.115405000 1.00  1231
s[67]     5.916334685  3.5279285  7.269472e-01  5.453395000 14.163467500 1.00  1284
s[68]     6.671308564  3.2449923  1.652492e+00  6.275455000 14.175975000 1.00  1228
s[69]     5.328254887  3.8003048  2.059274e-01  4.746635000 14.052575000 1.00  1362
s[70]     7.389620210  4.5575602  2.414528e-01  7.276025000 17.183675000 1.00  1356
s[71]     4.693999416  3.0330211  4.092041e-01  4.263745000 12.022500000 1.00  1233
s[72]     4.748274596  3.0098448  1.661607e-01  4.587200000 11.165970000 1.00  1500
s[73]    10.124590933  4.0778034  3.016150e+00  9.919525000 18.938135000 1.00  1294
s[74]    10.113268973  4.0836736  3.003744e+00  9.914940000 18.936765000 1.00  1293
s[75]     1.932984680  1.7271458  2.125490e-02  1.566925000  6.321517000 1.00  1339
s[76]     4.667187146  3.0335289  2.956315e-01  4.268265000 11.905880000 1.00  1234
s[77]     4.590238038  3.1037003  4.705625e-01  4.042910000 12.248795000 1.00  1222
s[78]     5.276727320  2.8420020  1.292877e+00  4.861110000 12.116290000 1.00  1291
s[79]     4.702745347  3.1563083  1.011630e+00  4.033860000 12.493947500 1.00  1289
s[80]    10.283882762  4.1666077  2.565040e+00 10.332750000 19.019802500 1.00  1357
s[81]    10.411229340  4.2034032  2.466298e+00 10.534400000 18.956777500 1.00  1416
s[82]     4.416392775  3.1928492  4.449391e-01  3.836045000 12.311365000 1.00  1219
s[83]     5.670045967  2.8926532  1.203850e+00  5.476610000 11.940792500 1.00  1440
s[84]     7.238782590  4.3195246  7.655168e-01  6.954115000 16.697147500 1.00  1360
s[85]    10.422942690  4.2026696  2.437606e+00 10.558450000 18.951282500 1.00  1416
s[86]     6.256877820  4.1048784  3.467705e-01  5.803905000 15.477810000 1.00  1360
s[87]     4.509545423  3.0856429  2.235957e-01  4.063300000 11.997492500 1.00  1230
s[88]     5.378770180  2.9653442  7.532208e-01  5.120840000 12.163210000 1.00  1364
s[89]     5.670045967  2.8926532  1.203850e+00  5.476610000 11.940792500 1.00  1440
s[90]     7.258043459  4.4422533  4.943852e-01  7.067455000 16.944395000 1.00  1357
s[91]    10.240667383  4.0834866  2.961898e+00 10.132500000 18.999397500 1.00  1357
s[92]     6.927342275  3.2442227  1.545864e+00  6.619210000 14.267445000 1.00  1351
s[93]     4.399967824  3.6366312  1.457943e-01  3.548840000 13.664050000 1.00  1215
s[94]     8.103329816  4.3719943  9.974707e-01  7.706040000 17.710640000 1.00  1344
s[95]     9.984510697  4.4251064  1.490089e+00 10.197700000 18.788157500 1.00  1425
s[96]     7.237081616  4.2935639  7.764326e-01  6.961495000 16.576632500 1.00  1362
s[97]     4.464126611  3.4777516  4.033561e-02  3.895530000 12.964972500 1.00  1216
s[98]     4.322151364  3.1681293  1.937838e-01  3.761185000 12.142487500 1.00  1219
s[99]     4.775708564  3.1007466  4.853891e-01  4.261955000 12.305200000 1.00  1223
s[100]    4.988525542  3.0545640  6.084156e-01  4.500160000 12.387465000 1.00  1228
s[101]    6.642466865  3.3814042  7.897843e-01  6.400520000 13.995047500 1.00  1412
s[102]    5.727037424  3.5766609  6.087329e-01  5.242520000 14.088982500 1.00  1281
s[103]    4.551712832  3.1484681  7.228752e-01  3.957330000 12.380252500 1.00  1226
s[104]    4.626506871  3.0239874  2.284262e-01  4.236355000 11.813345000 1.00  1290
s[105]    6.884596171  3.2214926  1.745244e+00  6.545285000 14.335767500 1.00  1296
s[106]    5.021593082  3.0513817  5.225575e-01  4.566795000 12.355492500 1.00  1288
s[107]    7.921513407  3.8514198  2.326677e+00  7.309865000 17.050437500 1.00  1286
s[108]    5.273222690  3.6921007  2.805615e-01  4.718115000 13.769672500 1.00  1363
s[109]    6.009060042  4.0218913  5.575777e-01  5.220050000 15.759570000 1.00  1337
s[110]    5.239538674  3.7153371  4.768185e-01  4.426480000 14.622872500 1.00  1215
s[111]    6.415463679  4.0210223  8.158943e-01  5.637455000 16.118907500 1.00  1338
s[112]    5.905838367  3.3356955  1.181443e+00  5.458495000 13.796040000 1.00  1219
s[113]    4.019688119  2.8948763  4.076401e-02  3.766920000 10.414680000 1.00  1500
s[114]    5.113466213  3.0210375  4.554938e-01  4.826005000 12.091162500 1.00  1307
s[115]    4.602419722  3.0385168  2.516369e-01  4.223475000 11.878702500 1.00  1232
s[116]    4.902714058  3.5833499  1.202518e-01  4.317610000 13.246190000 1.00  1363
s[117]    4.702745347  3.1563083  1.011630e+00  4.033860000 12.493947500 1.00  1289
s[118]    8.627974911  4.3656073  1.337452e+00  8.340795000 18.214485000 1.00  1346
s[119]    7.897684193  3.8647793  2.320274e+00  7.280840000 17.048315000 1.00  1284
s[120]    4.164465725  3.2098958  7.391509e-02  3.587820000 12.099037500 1.00  1216
s[121]    5.465169912  2.9670235  6.817618e-01  5.238840000 12.087592500 1.00  1367
s[122]    7.927754653  3.8486079  2.316342e+00  7.313045000 17.050765000 1.00  1287
s[123]    6.500083863  3.9602863  8.931398e-01  6.036025000 15.286410000 1.00  1366
s[124]    2.239731463  1.6542821  2.369648e-01  1.851800000  6.382667250 1.00  1351
s[125]    2.167309047  1.6130988  4.503262e-02  1.914900000  6.052579750 1.00  1500
s[126]    1.548874375  1.4406389  3.238151e-05  1.263370000  5.151278000 1.00  1500
s[127]    2.259849299  1.6381163  9.024435e-02  1.954395000  6.261173750 1.00  1371
